text1, text2,  similarity
безалкогольний зб середньогазований,безалкогольний,0.306308
безалкогольний зб середньогазований,безалкогольний зі смаком тропічних фруктів,0.401470
безалкогольний зб середньогазований,без безалкогольний цукру,0.455201
безалкогольний зі кавуна смаком,безалкогольний,0.430929
безалкогольний зі кавуна смаком,безалкогольний зі смаком тропічних фруктів,0.328757
безалкогольний зі кавуна смаком,без безалкогольний цукру,0.311854
безалкогольний зі кавуна смаком,безалкогольний зб середньогазований,0.373711
безалкогольний,boost безалкогольний зб сильногазований,0.393485
безалкогольний,evolution fresh jungle безалкогольний зб,0.483656
безалкогольний,boost безалкогольний енергетичний жб напій сильногазований,0.315000
безалкогольний,безалкогольний енергетичний напій сильногазований,0.360000
безалкогольний зб років,безалкогольний еволюшн сильногазований фреш,0.480643
безалкогольний зб років,green stalker безалкогольний зб сильногазований,0.321387
безалкогольний зб років,boost безалкогольний зб сильногазований,0.486469
безалкогольний зб років,безалкогольний сильногазований,0.477458
green stalker безалкогольний зб сильногазований,boost безалкогольний енергетичний жб напій сильногазований,0.443634
green stalker безалкогольний зб сильногазований,evolution fresh jungle безалкогольний зб,0.457552
безалкогольний,jungle безалкогольний сильногазований,0.449077
zoom безалкогольний зб сильногазований,zoom безалкогольний енергетичний жб напій сильногазований,0.378349
zoom безалкогольний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.381741
zoom безалкогольний зб сильногазований,green stalker безалкогольний зб сильногазований,0.411160
zoom безалкогольний зб сильногазований,boost безалкогольний зб сильногазований,0.406776
zoom безалкогольний зб сильногазований,boost безалкогольний енергетичний жб напій сильногазований,0.428416
zoom безалкогольний зб сильногазований,безалкогольний енергетичний напій сильногазований,0.436909
moonlight stalker безалкогольний зб сильногазований,green stalker безалкогольний зб сильногазований,0.376964
moonlight stalker безалкогольний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.311928
moonlight stalker безалкогольний зб сильногазований,boost безалкогольний зб сильногазований,0.406407
moonlight stalker безалкогольний зб сильногазований,безалкогольний сильногазований,0.363457
ultra безалкогольний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.396706
ultra безалкогольний зб сильногазований,green stalker безалкогольний зб сильногазований,0.467849
ultra безалкогольний зб сильногазований,boost безалкогольний зб сильногазований,0.334990
ultra безалкогольний зб сильногазований,безалкогольний сильногазований,0.397545
stalker безалкоголний зб сильногазований,green stalker безалкогольний зб сильногазований,0.450729
stalker безалкоголний зб сильногазований,moonlight stalker безалкогольний зб сильногазований,0.407566
stalker безалкоголний зб сильногазований,безалкогольний еволюшн сильногазований фреш,0.394677
stalker безалкоголний зб сильногазований,boost безалкогольний зб сильногазований,0.325279
moonlight stalker безалкогольний зб сильногазований,boost безалкогольний енергетичний жб напій сильногазований,0.483219
moonlight stalker безалкогольний зб сильногазований,безалкогольний енергетичний напій сильногазований,0.333253
безалкогольний зб сильногазований,mix безалкогольний зб сильногазований,0.445788
безалкогольний зб сильногазований,unicorn безалкогольний зб сильногазований,0.352924
